0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
78.199,160.868,34.784,123.417,101.917,108.483,95.967,150.666,96,99.651,81.967,69.166,53.233,52.833,1307.151
,,,,,,,,,,,,,,
"[0, 49, 45, 15, 28, 53, 0]","[0, 6, 40, 27, 61, 47, 33, 62, 0]","[0, 17, 0]","[0, 12, 20, 13, 5, 0]","[0, 50, 34, 44, 42, 0]","[0, 55, 0]","[0, 30, 22, 59, 3, 18, 0]","[0, 21, 8, 63, 0]","[0, 57, 19, 31, 67, 26, 66, 0]","[0, 32, 54, 64, 14, 0]","[0, 52, 4, 58, 29, 0]","[0, 51, 39, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
71.25,158.25,34.784,149.333,106.617,108.483,99.199,150.117,69.766,92.35,87.25,69.166,53.233,52.183,1301.981
,,,,,,,,,,,,,,
"[0, 45, 28, 15, 49, 53, 0]","[0, 62, 33, 61, 47, 40, 27, 6, 0]","[0, 17, 0]","[0, 12, 5, 13, 20, 0]","[0, 44, 42, 34, 50, 0]","[0, 55, 0]","[0, 59, 30, 3, 22, 18, 0]","[0, 63, 8, 21, 0]","[0, 57, 31, 67, 19, 66, 26, 0]","[0, 14, 54, 32, 64, 0]","[0, 52, 58, 29, 4, 0]","[0, 51, 39, 0]","[0, 37, 16, 9, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
66.849,143.135,34.784,122.967,104.667,108.483,91.667,141.384,70.201,99.3,79.983,68.35,54.083,52.183,1238.036
,,,,,,,,,,,,,,
"[0, 15, 45, 28, 53, 49, 0]","[0, 47, 27, 33, 62, 61, 6, 40, 0]","[0, 17, 0]","[0, 5, 20, 13, 12, 0]","[0, 42, 44, 50, 34, 0]","[0, 55, 0]","[0, 30, 22, 18, 3, 59, 0]","[0, 8, 21, 63, 0]","[0, 57, 67, 66, 19, 26, 31, 0]","[0, 14, 64, 54, 32, 0]","[0, 4, 52, 58, 29, 0]","[0, 39, 51, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
91.284,151.735,34.784,151.833,136.616,108.483,106.883,150.117,76.066,100.1,84.3,68.35,53.233,52.833,1366.617
,,,,,,,,,,,,,,
"[0, 28, 49, 45, 53, 15, 0]","[0, 62, 6, 40, 61, 27, 33, 47, 0]","[0, 17, 0]","[0, 20, 13, 5, 12, 0]","[0, 42, 50, 44, 34, 0]","[0, 55, 0]","[0, 30, 59, 22, 18, 3, 0]","[0, 63, 8, 21, 0]","[0, 19, 66, 31, 57, 67, 26, 0]","[0, 32, 64, 14, 54, 0]","[0, 29, 52, 58, 4, 0]","[0, 39, 51, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
74.45,180.033,34.784,153.95,102.6,108.483,109.033,150.666,82.349,87.784,90.55,69.166,54.083,52.183,1350.114
,,,,,,,,,,,,,,
"[0, 45, 53, 49, 15, 28, 0]","[0, 40, 27, 6, 62, 61, 47, 33, 0]","[0, 17, 0]","[0, 20, 12, 5, 13, 0]","[0, 50, 34, 42, 44, 0]","[0, 55, 0]","[0, 22, 3, 30, 59, 18, 0]","[0, 21, 8, 63, 0]","[0, 19, 31, 57, 66, 67, 26, 0]","[0, 64, 32, 14, 54, 0]","[0, 52, 58, 4, 29, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
85.182,174.916,34.784,128.65,131.016,108.483,92.634,150.666,74.734,92.884,86.549,69.166,56.466,52.183,1338.313
,,,,,,,,,,,,,,
